x_mm,y_mm,thickness_mm
10.0000,0.0000,0.0000
10.1000,0.0000,0.0000
10.2000,0.0000,0.0000
10.3000,0.0000,0.0000
10.4000,0.0000,0.0000
10.5000,0.0000,0.0000
10.6000,0.0000,0.0000
10.7000,0.0000,0.0000
10.8000,0.0000,0.0000
10.9000,0.0000,0.0000
11.0000,0.0000,0.0000
11.1000,0.0000,0.0000
11.2000,0.0000,0.0000
11.3000,0.0000,0.0000
11.4000,0.0000,0.0000
11.5000,0.0000,0.0000
11.6000,0.0000,0.0000
11.7000,0.0000,0.0000
11.8000,0.0000,0.0000
11.9000,0.0000,0.0000
12.0000,0.0000,0.0000
12.1000,0.0000,0.0000
12.2000,0.0000,0.0000
12.3000,0.0000,0.0000
12.4000,0.0000,0.0000
12.5000,0.0000,0.0000
12.6000,0.0000,0.0000
12.7000,0.0000,0.0000
12.8000,0.0000,0.0000
12.9000,0.0000,0.0000
13.0000,0.0000,0.0000
13.1000,0.0000,0.0000
13.2000,0.0000,0.0000
13.3000,0.0000,0.0000
13.4000,0.0000,0.0000
13.5000,0.0000,0.0000
13.6000,0.0000,0.0000
13.7000,0.0000,0.0000
13.8000,0.0000,0.0000
13.9000,0.0000,0.0000
14.0000,0.0000,0.0000
14.1000,0.0000,0.0000
14.2000,0.0000,0.0000
14.3000,0.0000,0.0861
14.4000,0.0000,0.0000
14.5000,0.0000,0.0000
14.6000,0.0000,0.0000
14.7000,0.0000,0.0000
14.8000,0.0000,0.0000
14.9000,0.0000,0.0000
15.0000,0.0000,0.0000
15.1000,0.0000,0.0000
15.2000,0.0000,0.0000
15.3000,0.0000,0.0000
15.4000,0.0000,0.0000
15.5000,0.0000,0.0000
15.6000,0.0000,0.0000
15.7000,0.0000,0.0000
15.8000,0.0000,0.0000
15.9000,0.0000,0.0000
16.0000,0.0000,0.0000
16.1000,0.0000,0.0000
16.2000,0.0000,0.0000
16.3000,0.0000,0.0000
16.4000,0.0000,0.0000
16.5000,0.0000,0.0000
16.6000,0.0000,0.0000
16.7000,0.0000,0.0000
16.8000,0.0000,0.0000
16.9000,0.0000,0.0000
17.0000,0.0000,0.0000
17.1000,0.0000,0.0000
17.2000,0.0000,0.0000
17.3000,0.0000,0.0000
17.4000,0.0000,0.0000
17.5000,0.0000,0.0000
17.6000,0.0000,0.0000
17.7000,0.0000,0.0000
17.8000,0.0000,0.0000
17.9000,0.0000,0.0000
18.0000,0.0000,0.0000
18.1000,0.0000,0.0000
18.2000,0.0000,0.0000
18.3000,0.0000,0.0000
18.4000,0.0000,0.0000
18.5000,0.0000,0.0000
18.6000,0.0000,0.0000
18.7000,0.0000,0.0000
18.8000,0.0000,0.0000
18.9000,0.0000,0.0000
19.0000,0.0000,0.0000
19.1000,0.0000,0.0000
19.2000,0.0000,0.0000
19.3000,0.0000,0.0000
19.4000,0.0000,0.0000
19.5000,0.0000,0.0000
19.6000,0.0000,0.0000
19.7000,0.0000,0.0000
19.8000,0.0000,0.0000
19.9000,0.0000,0.0000
20.0000,0.0000,0.0000
20.1000,0.0000,0.0000
20.2000,0.0000,0.0000
20.3000,0.0000,0.0000
20.4000,0.0000,0.0000
20.5000,0.0000,0.0000
20.6000,0.0000,0.0000
20.7000,0.0000,0.0000
20.8000,0.0000,0.0000
20.9000,0.0000,0.0000
21.0000,0.0000,0.0000
21.1000,0.0000,0.0000
21.2000,0.0000,0.0000
21.3000,0.0000,0.0000
21.4000,0.0000,0.0000
21.5000,0.0000,0.0000
21.6000,0.0000,0.0000
21.7000,0.0000,0.0000
21.8000,0.0000,0.0000
21.9000,0.0000,0.0000
22.0000,0.0000,0.0000
22.1000,0.0000,0.0000
22.2000,0.0000,0.0000
22.3000,0.0000,0.0000
22.4000,0.0000,0.0000
22.5000,0.0000,0.0000
22.6000,0.0000,0.0000
22.7000,0.0000,0.0000
22.8000,0.0000,0.0000
22.9000,0.0000,0.0000
23.0000,0.0000,0.0000
23.1000,0.0000,0.0000
23.2000,0.0000,0.0000
23.3000,0.0000,0.0000
23.4000,0.0000,0.0000
23.5000,0.0000,0.0000
23.6000,0.0000,0.0000
23.7000,0.0000,0.0000
23.8000,0.0000,0.0000
23.9000,0.0000,0.0000
24.0000,0.0000,0.0000
24.1000,0.0000,0.0000
24.2000,0.0000,0.0000
24.3000,0.0000,0.0000
24.4000,0.0000,0.0000
24.5000,0.0000,0.0000
24.6000,0.0000,0.0000
24.7000,0.0000,0.0000
24.8000,0.0000,0.0000
24.9000,0.0000,0.0000
25.0000,0.0000,0.0000
25.1000,0.0000,0.0000
25.2000,0.0000,0.0000
25.3000,0.0000,0.0000
25.4000,0.0000,0.0000
25.5000,0.0000,0.0000
25.6000,0.0000,0.0000
25.7000,0.0000,0.0000
25.8000,0.0000,0.0000
25.9000,0.0000,0.0000
26.0000,0.0000,0.0000
26.1000,0.0000,0.0000
26.2000,0.0000,0.0000
26.3000,0.0000,0.0000
26.4000,0.0000,0.0000
26.5000,0.0000,0.0000
26.6000,0.0000,0.0000
26.7000,0.0000,0.0000
26.8000,0.0000,0.0000
26.9000,0.0000,0.0000
27.0000,0.0000,0.0000
27.1000,0.0000,0.0000
27.2000,0.0000,0.0000
27.3000,0.0000,0.0000
27.4000,0.0000,0.0000
27.5000,0.0000,0.0000
27.6000,0.0000,0.0000
27.7000,0.0000,0.0000
27.8000,0.0000,0.0000
27.9000,0.0000,0.0000
28.0000,0.0000,0.0000
